,r,p_value
0,0.02327611108183657,0.37046295370462956
1,0.14872867745862234,0.0375962403759624
2,0.016292598800021107,0.41455854414558546
3,-0.0073520707469718095,0.47515248475152483
4,0.12915936134102973,0.05219478052194781
5,0.08479432174533574,0.13688631136886312
6,-0.019221896974841106,0.39816018398160186
7,0.18265674750844252,0.015898410158984102
8,-0.08897132121547716,0.12668733126687332
9,0.13653531712127992,0.0494950504949505
10,-0.007110003335352563,0.47355264473552644
11,0.10857660777026991,0.10018998100189981
12,0.19957128354494105,0.014098590140985901
13,-0.04879781197824589,0.28647135286471354
14,0.16180372048289707,0.0273972602739726
15,-0.025975707993668204,0.38176182381761825
16,-0.007160570853556652,0.46865313468653136
17,0.09302193531266087,0.1364863513648635
18,0.10049232484501637,0.09399060093990601
19,0.04315221238746777,0.282971702829717
20,0.06653309521982557,0.2104789521047895
21,0.06356044558927253,0.2196780321967803
22,-0.001661507713115794,0.49735026497350265
23,0.08046802237113496,0.14078592140785923
24,0.03981065117820599,0.3170682931706829
25,0.09382353596874327,0.12868713128687131
26,-0.0270412168849502,0.3818618138186181
27,0.08628383592901219,0.134986501349865
28,0.22299369260512733,0.0034996500349965005
29,0.03126946280384513,0.34656534346565343
30,0.008798804617889497,0.44645535446455353
31,0.3222142325826484,9.999000099990002e-05
32,0.013772906072781853,0.42355764423557646
33,0.07389365931464315,0.1598840115988401
34,0.1028277750318901,0.097990200979902
35,-0.0056020486440555,0.47975202479752027
36,0.018666387944890003,0.41155884411558846
37,0.08157478233025985,0.11088891110888911
38,0.06216482726325274,0.2166783321667833
39,0.017693069113787166,0.40245975402459755
40,0.04627804587501048,0.267973202679732
41,0.02879746906011158,0.3531646835316468
42,0.02979079202216835,0.34636536346365365
43,0.20779589806285634,0.0051994800519948
44,-0.04194573449764815,0.30526947305269475
45,0.027392353128588443,0.3498650134986501
46,0.2841840935183352,0.0005999400059994001
47,-0.015442005908500638,0.42875712428757123
48,-0.04473008292995716,0.29587041295870414
49,0.14350426525781929,0.040495950404959506
