,r,p_value
0,0.07947179188523024,0.15478452154784522
1,0.1612474226609872,0.028097190280971903
2,0.08001102061603269,0.1743825617438256
3,0.18577784595123284,0.016998300169983
4,0.13136682529851504,0.0476952304769523
5,0.12406673242349675,0.06059394060593941
6,0.13758653702727142,0.0428957104289571
7,0.1006102171408515,0.11088891110888911
8,0.10221112316013631,0.0973902609739026
9,0.22708982274993092,0.0028997100289971
10,0.019144673324879315,0.39966003399660033
11,0.13328612810915008,0.04939506049395061
12,0.09331296973644199,0.14428557144285573
13,0.14668480972250103,0.0165983401659834
14,0.251168965319775,0.001999800019998
15,0.23025943189818449,0.0026997300269973002
16,0.21011557241055503,0.004299570042995701
17,0.1755058865640955,0.016298370162983702
18,0.31141870430617236,9.999000099990002e-05
19,-0.00329756312756255,0.49545045495450457
20,0.07100083809719664,0.19018098190180982
21,0.13022028867047017,0.05169483051694831
22,0.17257486270564837,0.011398860113988602
23,0.07608963320032812,0.16698330166983302
24,0.1177239644209328,0.0746925307469253
25,0.1341101451320603,0.058994100589941006
26,0.07664646520397332,0.1655834416558344
27,0.11126002540250715,0.08449155084491551
28,0.14351640439918453,0.029997000299970003
29,0.1694415586244963,0.0201979802019798
30,0.20009759351441903,0.006799320067993201
31,0.3270981060137767,9.999000099990002e-05
32,0.04417773829049033,0.28447155284471554
33,0.028109614956081115,0.3521647835216478
34,0.0921869623363236,0.12858714128587143
35,0.1971826701558473,0.004899510048995101
36,0.1887161395645824,0.009299070092990702
37,0.30044112330421624,9.999000099990002e-05
38,0.11642730967673796,0.07169283071692831
39,0.12175676190904818,0.06479352064793521
40,0.17540725182653594,0.014798520147985201
41,0.020960784261910538,0.38866113388661133
42,0.09592295059043547,0.10628937106289371
43,0.17836437326190102,0.013298670132986702
44,0.08386487697950532,0.130986901309869
45,-0.002122558906006326,0.5016498350164984
46,0.3599832379416169,9.999000099990002e-05
47,0.1094308281876007,0.0882911708829117
48,0.08850498465786301,0.1377862213778622
49,0.16964671332376827,0.018598140185981403
